barrier_sequence,sequence_length,barrier_changes,reward_path_lengths,choice_points
"[frozenset({np.int64(37), np.int64(7), np.int64(39), np.int64(41), np.int64(14), np.int64(46), np.int64(20), np.int64(23), np.int64(30)}), frozenset({37, 39, 7, 46, 14, 16, 20, 23, 30}), frozenset({37, 39, 7, 14, 46, 17, 20, 23, 30})]",3,"[[np.int64(41), 16], [16, 17]]","[[15, 17, 21], [15, 21, 19], [25, 17, 19]]","[{13}, {26}, {29}]"
"[frozenset({np.int64(34), np.int64(36), np.int64(37), np.int64(7), np.int64(45), np.int64(14), np.int64(17), np.int64(20), np.int64(28)}), frozenset({34, 36, 37, 7, 45, 14, 20, 25, 28}), frozenset({34, 37, 7, 45, 14, 20, 25, 26, 28})]",3,"[[np.int64(17), 25], [36, 26]]","[[23, 19, 17], [15, 19, 23], [21, 19, 15]]","[{35}, {13}, {35}]"
"[frozenset({np.int64(32), np.int64(34), np.int64(11), np.int64(44), np.int64(13), np.int64(46), np.int64(15), np.int64(21), np.int64(30)}), frozenset({32, 34, 11, 44, 46, 15, 16, 21, 30}), frozenset({32, 34, 11, 44, 46, 15, 16, 26, 30})]",3,"[[np.int64(13), 16], [21, 26]]","[[21, 15, 19], [17, 25, 19], [23, 17, 19]]","[{24}, {31}, {24}]"
"[frozenset({np.int64(36), np.int64(37), np.int64(7), np.int64(39), np.int64(46), np.int64(14), np.int64(20), np.int64(23), np.int64(30)}), frozenset({37, 39, 7, 46, 14, 16, 20, 23, 30}), frozenset({37, 39, 7, 14, 46, 17, 20, 23, 30})]",3,"[[np.int64(36), 16], [16, 17]]","[[15, 17, 21], [15, 21, 19], [25, 17, 19]]","[{13}, {26}, {29}]"
"[frozenset({np.int64(39), np.int64(9), np.int64(42), np.int64(10), np.int64(15), np.int64(22), np.int64(24), np.int64(25), np.int64(30)}), frozenset({35, 39, 9, 10, 42, 15, 22, 25, 30}), frozenset({35, 39, 10, 11, 42, 15, 22, 25, 30})]",3,"[[np.int64(24), 35], [9, 11]]","[[15, 21, 17], [15, 17, 19], [17, 15, 19]]","[{31}, {17}, {16}]"
"[frozenset({np.int64(34), np.int64(8), np.int64(42), np.int64(44), np.int64(13), np.int64(15), np.int64(22), np.int64(25), np.int64(30)}), frozenset({34, 9, 42, 44, 13, 15, 22, 25, 30}), frozenset({34, 9, 42, 44, 13, 15, 22, 26, 30})]",3,"[[np.int64(8), 9], [25, 26]]","[[21, 15, 19], [15, 23, 19], [23, 17, 19]]","[{24}, {31}, {24}]"
"[frozenset({np.int64(34), np.int64(39), np.int64(8), np.int64(42), np.int64(12), np.int64(16), np.int64(21), np.int64(27), np.int64(30)}), frozenset({34, 36, 39, 8, 42, 12, 21, 27, 30}), frozenset({34, 39, 8, 42, 12, 21, 22, 27, 30})]",3,"[[np.int64(16), 36], [36, 22]]","[[17, 25, 19], [17, 15, 21], [21, 15, 19]]","[{31}, {13}, {24}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(39), np.int64(41), np.int64(10), np.int64(12), np.int64(18), np.int64(20), np.int64(25)}), frozenset({34, 37, 39, 41, 10, 12, 18, 21, 25}), frozenset({34, 37, 41, 10, 12, 18, 21, 25, 28}), frozenset({34, 37, 41, 10, 12, 18, 25, 28, 31})]",4,"[[np.int64(20), 21], [39, 28], [21, 31]]","[[15, 21, 19], [23, 17, 19], [23, 19, 17], [15, 19, 21]]","[{26}, {24}, {35}, {17}]"
"[frozenset({np.int64(32), np.int64(34), np.int64(7), np.int64(41), np.int64(11), np.int64(20), np.int64(21), np.int64(26), np.int64(28)}), frozenset({32, 34, 36, 7, 41, 11, 20, 21, 28}), frozenset({32, 34, 7, 41, 11, 20, 21, 28, 29})]",3,"[[np.int64(26), 36], [36, 29]]","[[21, 19, 15], [17, 19, 25], [17, 21, 15]]","[{35}, {13}, {31}]"
"[frozenset({np.int64(32), np.int64(34), np.int64(9), np.int64(41), np.int64(11), np.int64(18), np.int64(20), np.int64(21), np.int64(23)}), frozenset({32, 34, 41, 9, 11, 16, 20, 21, 23}), frozenset({32, 34, 36, 41, 9, 11, 20, 21, 23})]",3,"[[np.int64(18), 16], [16, 36]]","[[21, 19, 15], [17, 21, 15], [17, 19, 25]]","[{35}, {31}, {13}]"
