barrier_sequence,sequence_length,barrier_changes,reward_path_lengths,choice_points
"[frozenset({np.int64(7), np.int64(39), np.int64(10), np.int64(42), np.int64(18), np.int64(20), np.int64(23), np.int64(26), np.int64(30)}), frozenset({37, 7, 39, 10, 42, 18, 20, 23, 30}), frozenset({37, 39, 7, 42, 17, 18, 20, 23, 30}), frozenset({37, 39, 7, 42, 17, 18, 23, 24, 30})]",4,"[[np.int64(26), 37], [10, 17], [20, 24]]","[[25, 19, 17], [15, 19, 19], [25, 17, 19], [17, 23, 19]]","[{29}, {17, 26, 29}, {29}, {26}]"
"[frozenset({np.int64(34), np.int64(36), np.int64(37), np.int64(7), np.int64(45), np.int64(14), np.int64(17), np.int64(20), np.int64(28)}), frozenset({34, 36, 37, 7, 45, 14, 20, 25, 28}), frozenset({34, 37, 7, 45, 14, 20, 25, 26, 28}), frozenset({34, 37, 7, 41, 45, 14, 20, 25, 28}), frozenset({32, 34, 37, 7, 45, 14, 20, 25, 28}), frozenset({32, 35, 37, 7, 45, 14, 20, 25, 28})]",6,"[[np.int64(17), 25], [36, 26], [26, 41], [41, 32], [34, 35]]","[[23, 19, 17], [15, 19, 23], [21, 19, 15], [15, 19, 17], [17, 19, 15], [17, 17, 23]]","[{35}, {13}, {35}, {26, 35, 13}, {35, 36, 13}, {13}]"
"[frozenset({np.int64(32), np.int64(34), np.int64(11), np.int64(44), np.int64(13), np.int64(46), np.int64(15), np.int64(21), np.int64(30)}), frozenset({32, 34, 11, 44, 46, 15, 16, 21, 30}), frozenset({32, 34, 10, 11, 44, 46, 15, 21, 30}), frozenset({32, 34, 10, 11, 44, 46, 15, 20, 21}), frozenset({32, 34, 36, 10, 11, 44, 46, 15, 21})]",5,"[[np.int64(13), 16], [16, 10], [30, 20], [20, 36]]","[[21, 15, 19], [17, 25, 19], [19, 15, 19], [19, 25, 17], [19, 15, 21]]","[{24}, {31}, {16, 24, 31}, {31}, {16}]"
"[frozenset({np.int64(37), np.int64(7), np.int64(42), np.int64(44), np.int64(14), np.int64(20), np.int64(25), np.int64(28), np.int64(31)}), frozenset({37, 7, 42, 44, 14, 17, 20, 25, 28}), frozenset({37, 7, 42, 44, 14, 16, 20, 25, 28}), frozenset({37, 7, 42, 44, 14, 20, 25, 28, 30}), frozenset({7, 42, 44, 14, 20, 21, 25, 28, 30})]",5,"[[np.int64(31), 17], [17, 16], [16, 30], [37, 21]]","[[15, 17, 21], [23, 17, 17], [15, 19, 17], [15, 17, 19], [23, 17, 17]]","[{13}, {29}, {26}, {26, 29, 13}, {29}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(10), np.int64(45), np.int64(14), np.int64(15), np.int64(24), np.int64(25), np.int64(27)}), frozenset({34, 37, 39, 10, 45, 14, 15, 25, 27}), frozenset({34, 37, 10, 45, 14, 15, 25, 27, 28}), frozenset({34, 36, 37, 10, 45, 14, 15, 25, 28})]",4,"[[np.int64(24), 39], [39, 28], [27, 36]]","[[19, 21, 15], [19, 15, 17], [19, 17, 15], [17, 17, 21]]","[{36}, {16, 24, 36}, {16, 35, 36}, {16}]"
"[frozenset({np.int64(9), np.int64(42), np.int64(44), np.int64(17), np.int64(22), np.int64(23), np.int64(24), np.int64(27), np.int64(30)}), frozenset({9, 42, 44, 17, 20, 22, 23, 27, 30}), frozenset({9, 42, 44, 13, 20, 22, 23, 27, 30}), frozenset({9, 42, 44, 13, 22, 23, 26, 27, 30})]",4,"[[np.int64(24), 20], [17, 13], [20, 26]]","[[17, 23, 17], [23, 17, 17], [15, 21, 17], [23, 17, 17]]","[{31}, {29}, {31}, {29}]"
"[frozenset({np.int64(7), np.int64(10), np.int64(44), np.int64(46), np.int64(18), np.int64(20), np.int64(26), np.int64(28), np.int64(30)}), frozenset({37, 7, 10, 44, 46, 18, 20, 28, 30}), frozenset({37, 7, 44, 46, 17, 18, 20, 28, 30}), frozenset({37, 7, 44, 46, 18, 20, 24, 28, 30})]",4,"[[np.int64(26), 37], [10, 17], [17, 24]]","[[25, 19, 17], [15, 19, 19], [25, 17, 19], [15, 21, 19]]","[{29}, {17, 26, 29}, {29}, {26}]"
"[frozenset({np.int64(7), np.int64(42), np.int64(10), np.int64(44), np.int64(20), np.int64(22), np.int64(27), np.int64(28), np.int64(30)}), frozenset({7, 42, 44, 20, 22, 26, 27, 28, 30}), frozenset({7, 42, 44, 13, 20, 22, 27, 28, 30}), frozenset({7, 42, 44, 13, 22, 26, 27, 28, 30})]",4,"[[np.int64(10), 26], [26, 13], [20, 26]]","[[15, 19, 17], [23, 17, 17], [15, 21, 17], [23, 17, 17]]","[{17, 29, 31}, {29}, {31}, {29}]"
"[frozenset({np.int64(39), np.int64(9), np.int64(42), np.int64(10), np.int64(15), np.int64(22), np.int64(24), np.int64(25), np.int64(30)}), frozenset({35, 39, 9, 10, 42, 15, 22, 25, 30}), frozenset({35, 39, 10, 11, 42, 15, 22, 25, 30}), frozenset({39, 10, 11, 42, 15, 20, 22, 25, 30})]",4,"[[np.int64(24), 35], [9, 11], [35, 20]]","[[15, 21, 17], [15, 17, 19], [17, 15, 19], [17, 23, 17]]","[{31}, {17}, {16}, {31}]"
"[frozenset({np.int64(37), np.int64(40), np.int64(9), np.int64(42), np.int64(17), np.int64(18), np.int64(20), np.int64(25), np.int64(28)}), frozenset({37, 40, 9, 10, 42, 18, 20, 25, 28}), frozenset({32, 37, 40, 9, 10, 18, 20, 25, 28}), frozenset({36, 37, 40, 9, 10, 18, 20, 25, 28}), frozenset({37, 40, 9, 10, 18, 20, 25, 26, 28}), frozenset({35, 37, 40, 9, 10, 18, 20, 26, 28})]",6,"[[np.int64(17), 10], [42, 32], [32, 36], [36, 26], [25, 35]]","[[23, 17, 17], [15, 19, 17], [17, 19, 15], [15, 19, 21], [23, 19, 15], [17, 19, 23]]","[{29}, {17, 26, 29}, {17, 36, 29}, {17}, {29}, {17}]"
