barrier_sequence,sequence_length,reward_path_lengths,choice_points
"[frozenset({7, 39, 46, 20, 23, 25, 26, 27, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({34, 37, 39, 10, 11, 45, 15, 25, 27}), frozenset({34, 37, 10, 11, 45, 15, 25, 27, 30}), frozenset({34, 37, 10, 11, 45, 15, 19, 25, 27}), frozenset({34, 37, 10, 11, 45, 19, 25, 27, 30}), frozenset({34, 37, 10, 11, 45, 19, 24, 25, 27})]",5,"[[19, 15, 17], [19, 15, 21], [19, 17, 15], [19, 17, 23], [19, 21, 15]]","[{16, 24, 36}, {16}, {16, 35, 36}, {16}, {36}]"
"[frozenset({37, 10, 12, 45, 22, 23, 25, 28, 29})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({34, 35, 40, 9, 42, 10, 15, 22, 25}), frozenset({34, 35, 8, 40, 42, 10, 15, 22, 25})]",2,"[[15, 17, 19], [17, 15, 19]]","[{17}, {16}]"
"[frozenset({7, 44, 45, 14, 20, 25, 28, 30, 31}), frozenset({7, 44, 45, 14, 17, 20, 25, 28, 31})]",2,"[[15, 17, 21], [21, 17, 15]]","[{13}, {29}]"
"[frozenset({32, 35, 37, 9, 44, 14, 20, 28, 31})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({34, 7, 9, 10, 41, 18, 19, 25, 31}), frozenset({34, 37, 7, 41, 10, 9, 18, 19, 25}), frozenset({34, 37, 7, 41, 10, 18, 19, 21, 25})]",3,"[[15, 19, 21], [15, 19, 17], [23, 19, 17]]","[{17}, {17, 26, 35}, {35}]"
"[frozenset({34, 39, 8, 10, 45, 15, 20, 22, 31}), frozenset({34, 39, 8, 10, 45, 15, 22, 25, 31}), frozenset({34, 8, 10, 45, 15, 22, 25, 28, 31})]",3,"[[19, 21, 17], [19, 15, 17], [19, 17, 15]]","[{30}, {24}, {35}]"
"[frozenset({32, 34, 37, 40, 13, 15, 16, 18, 25}), frozenset({34, 37, 40, 13, 46, 15, 16, 18, 25}), frozenset({34, 37, 40, 13, 14, 15, 46, 18, 25}), frozenset({34, 37, 40, 10, 14, 15, 46, 18, 25}), frozenset({34, 37, 7, 40, 10, 46, 15, 18, 25}), frozenset({34, 37, 7, 40, 10, 15, 18, 21, 25})]",6,"[[17, 21, 17], [15, 21, 19], [21, 15, 19], [17, 15, 19], [15, 17, 19], [21, 17, 17]]","[{36}, {26}, {24}, {16, 24, 26}, {24, 17, 26}, {24}]"
"[frozenset({34, 7, 10, 42, 45, 18, 27, 28, 30})]",1,"[[15, 19, 19]]","[{17, 20, 21}]"
"[frozenset({42, 12, 44, 15, 16, 23, 26, 27, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({32, 34, 7, 45, 14, 17, 20, 27, 28})]",1,"[[21, 19, 15]]",[{35}]
"[frozenset({35, 40, 9, 10, 42, 18, 20, 28, 31})]",1,"[[15, 19, 21]]",[{17}]
"[frozenset({34, 35, 37, 40, 10, 12, 18, 22, 25}), frozenset({34, 37, 40, 10, 12, 18, 22, 25, 31}), frozenset({34, 37, 40, 10, 42, 12, 18, 25, 31}), frozenset({34, 37, 40, 10, 42, 12, 18, 21, 25}), frozenset({34, 37, 40, 10, 42, 12, 18, 20, 25}), frozenset({34, 37, 40, 10, 12, 18, 20, 25, 27})]",6,"[[17, 17, 21], [21, 17, 17], [15, 17, 19], [23, 17, 19], [15, 21, 19], [17, 21, 17]]","[{17}, {24}, {17}, {24}, {26}, {36}]"
"[frozenset({32, 10, 44, 13, 46, 16, 19, 26, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({34, 36, 7, 42, 11, 46, 17, 20, 23})]",1,"[[23, 19, 17]]",[{35}]
"[frozenset({39, 9, 10, 42, 15, 18, 19, 26, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({7, 41, 44, 14, 46, 20, 23, 25, 31}), frozenset({7, 41, 44, 46, 14, 17, 20, 23, 31})]",2,"[[15, 17, 21], [23, 17, 17]]","[{13}, {29}]"
"[frozenset({7, 39, 42, 44, 13, 22, 24, 25, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({34, 37, 7, 41, 11, 45, 16, 18, 25}), frozenset({32, 34, 37, 7, 11, 45, 16, 18, 25})]",2,"[[15, 19, 17], [17, 19, 15]]","[{26}, {36}]"
"[frozenset({32, 36, 39, 41, 11, 12, 15, 21, 24})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({32, 35, 37, 8, 40, 12, 16, 21, 27})]",1,"[[19, 23, 17]]",[{36}]
"[frozenset({32, 37, 8, 40, 11, 12, 16, 21, 29}), frozenset({32, 37, 8, 40, 11, 12, 21, 25, 29}), frozenset({32, 34, 37, 8, 40, 11, 12, 21, 25})]",3,"[[19, 23, 17], [19, 15, 23], [19, 15, 17]]","[{36}, {13}, {24, 36, 13}]"
"[frozenset({32, 36, 41, 10, 11, 21, 24, 27, 28})]",1,"[[19, 17, 23]]",[{16}]
"[frozenset({39, 42, 10, 12, 15, 18, 25, 27, 29}), frozenset({39, 10, 42, 14, 15, 18, 25, 27, 29})]",2,"[[15, 17, 19], [17, 15, 19]]","[{17}, {16}]"
