barrier_sequence,sequence_length,barrier_changes,reward_path_lengths,choice_points
"[frozenset({np.int64(34), np.int64(36), np.int64(37), np.int64(7), np.int64(45), np.int64(14), np.int64(17), np.int64(20), np.int64(28)}), frozenset({34, 36, 37, 7, 45, 14, 20, 25, 28}), frozenset({34, 37, 7, 45, 14, 20, 25, 26, 28}), frozenset({34, 37, 7, 41, 45, 14, 20, 25, 28}), frozenset({32, 34, 37, 7, 45, 14, 20, 25, 28}), frozenset({32, 35, 37, 7, 45, 14, 20, 25, 28})]",6,"[[np.int64(17), 25], [36, 26], [26, 41], [41, 32], [34, 35]]","[[23, 19, 17], [15, 19, 23], [21, 19, 15], [15, 19, 17], [17, 19, 15], [17, 17, 23]]","[{35}, {13}, {35}, {26, 35, 13}, {35, 36, 13}, {13}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(10), np.int64(45), np.int64(14), np.int64(15), np.int64(24), np.int64(25), np.int64(27)}), frozenset({34, 35, 37, 10, 45, 14, 15, 25, 27}), frozenset({34, 37, 10, 45, 14, 15, 25, 27, 28}), frozenset({34, 37, 39, 10, 45, 14, 15, 25, 27}), frozenset({34, 37, 39, 10, 45, 14, 15, 46, 25}), frozenset({34, 37, 10, 45, 14, 15, 46, 24, 25})]",6,"[[np.int64(24), 35], [35, 28], [28, 39], [27, 46], [39, 24]]","[[19, 21, 15], [19, 15, 21], [19, 17, 15], [19, 15, 17], [17, 15, 19], [17, 21, 17]]","[{36}, {16}, {16, 35, 36}, {16, 24, 36}, {16, 24, 26}, {26}]"
"[frozenset({np.int64(37), np.int64(40), np.int64(9), np.int64(42), np.int64(17), np.int64(18), np.int64(20), np.int64(25), np.int64(28)}), frozenset({37, 40, 9, 10, 42, 18, 20, 25, 28}), frozenset({32, 37, 40, 9, 10, 18, 20, 25, 28}), frozenset({36, 37, 40, 9, 10, 18, 20, 25, 28}), frozenset({37, 40, 9, 10, 18, 20, 25, 26, 28}), frozenset({35, 37, 40, 9, 10, 18, 20, 26, 28})]",6,"[[np.int64(17), 10], [42, 32], [32, 36], [36, 26], [25, 35]]","[[23, 17, 17], [15, 19, 17], [17, 19, 15], [15, 19, 21], [23, 19, 15], [17, 19, 23]]","[{29}, {17, 26, 29}, {17, 36, 29}, {17}, {29}, {17}]"
"[frozenset({np.int64(35), np.int64(37), np.int64(7), np.int64(40), np.int64(14), np.int64(20), np.int64(27), np.int64(28), np.int64(31)}), frozenset({37, 7, 40, 14, 20, 25, 27, 28, 31}), frozenset({37, 7, 40, 14, 15, 20, 25, 27, 28}), frozenset({37, 7, 40, 46, 14, 15, 20, 25, 28}), frozenset({37, 7, 40, 14, 46, 20, 25, 28, 30}), frozenset({37, 7, 40, 46, 14, 17, 20, 25, 28})]",6,"[[np.int64(35), 25], [31, 15], [27, 46], [15, 30], [30, 17]]","[[17, 17, 23], [21, 17, 15], [17, 19, 15], [15, 19, 17], [15, 17, 21], [23, 17, 17]]","[{13}, {29}, {36}, {26}, {13}, {29}]"
"[frozenset({np.int64(39), np.int64(9), np.int64(42), np.int64(10), np.int64(18), np.int64(19), np.int64(25), np.int64(26), np.int64(30)}), frozenset({37, 39, 9, 42, 10, 18, 19, 25, 30}), frozenset({37, 39, 10, 42, 14, 18, 19, 25, 30}), frozenset({37, 39, 10, 42, 18, 19, 20, 25, 30}), frozenset({37, 39, 42, 10, 17, 18, 19, 25, 30}), frozenset({37, 39, 10, 42, 17, 18, 19, 24, 30})]",6,"[[np.int64(26), 37], [9, 14], [14, 20], [20, 17], [25, 24]]","[[23, 17, 17], [15, 17, 19], [17, 15, 19], [15, 21, 19], [23, 15, 19], [17, 23, 19]]","[{29}, {17, 26, 29}, {16, 26, 29}, {26}, {29}, {26}]"
"[frozenset({np.int64(34), np.int64(39), np.int64(10), np.int64(42), np.int64(15), np.int64(16), np.int64(22), np.int64(26), np.int64(30)}), frozenset({34, 39, 10, 42, 15, 16, 22, 25, 30}), frozenset({34, 39, 10, 42, 15, 21, 22, 25, 30}), frozenset({34, 39, 9, 10, 42, 15, 22, 25, 30}), frozenset({34, 39, 8, 10, 42, 15, 22, 25, 30}), frozenset({39, 8, 10, 42, 15, 22, 24, 25, 30})]",6,"[[np.int64(26), 25], [16, 21], [21, 9], [9, 8], [34, 24]]","[[23, 17, 19], [15, 23, 19], [21, 15, 19], [15, 17, 19], [17, 15, 19], [17, 23, 17]]","[{24}, {31}, {24}, {24, 17, 31}, {16, 24, 31}, {31}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(10), np.int64(12), np.int64(45), np.int64(18), np.int64(25), np.int64(27), np.int64(28)}), frozenset({34, 37, 10, 12, 45, 18, 25, 28, 30}), frozenset({34, 37, 10, 12, 45, 18, 21, 25, 28}), frozenset({34, 37, 41, 10, 12, 45, 18, 25, 28}), frozenset({34, 37, 41, 10, 44, 12, 45, 18, 25}), frozenset({34, 37, 10, 12, 44, 45, 18, 21, 25})]",6,"[[np.int64(27), 30], [30, 21], [21, 41], [28, 44], [41, 21]]","[[17, 19, 15], [15, 19, 21], [21, 19, 15], [15, 19, 17], [15, 17, 19], [21, 17, 17]]","[{17, 35, 36}, {17}, {35}, {17, 26, 35}, {24, 17, 26}, {24}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(9), np.int64(10), np.int64(45), np.int64(18), np.int64(19), np.int64(25), np.int64(30)}), frozenset({34, 37, 9, 10, 45, 18, 19, 25, 26}), frozenset({34, 37, 9, 10, 45, 46, 18, 19, 25}), frozenset({34, 37, 9, 10, 45, 18, 19, 25, 27}), frozenset({34, 37, 10, 45, 14, 18, 19, 25, 27}), frozenset({34, 37, 10, 45, 14, 18, 19, 25, 30})]",6,"[[np.int64(30), 26], [26, 46], [46, 27], [9, 14], [27, 30]]","[[15, 19, 21], [21, 19, 15], [15, 19, 17], [17, 19, 15], [19, 17, 15], [17, 17, 21]]","[{17}, {35}, {17, 26, 35}, {17, 35, 36}, {16, 35, 36}, {16}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(10), np.int64(45), np.int64(46), np.int64(17), np.int64(18), np.int64(19), np.int64(25)}), frozenset({34, 37, 7, 10, 45, 46, 18, 19, 25}), frozenset({34, 37, 7, 10, 45, 18, 19, 25, 26}), frozenset({34, 37, 7, 10, 45, 18, 19, 25, 30}), frozenset({34, 37, 7, 10, 45, 18, 19, 25, 27}), frozenset({34, 37, 10, 45, 14, 18, 19, 25, 27}), frozenset({34, 37, 10, 45, 14, 18, 19, 25, 30})]",7,"[[np.int64(17), 7], [46, 26], [26, 30], [30, 27], [7, 14], [27, 30]]","[[21, 17, 17], [15, 19, 17], [21, 19, 15], [15, 19, 21], [17, 19, 15], [19, 17, 15], [17, 17, 21]]","[{35}, {17, 26, 35}, {35}, {17}, {17, 35, 36}, {16, 35, 36}, {16}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(41), np.int64(10), np.int64(12), np.int64(15), np.int64(18), np.int64(25), np.int64(28)}), frozenset({34, 37, 39, 41, 10, 12, 15, 18, 25}), frozenset({34, 37, 39, 41, 10, 15, 18, 21, 25}), frozenset({34, 37, 39, 41, 10, 15, 16, 18, 25}), frozenset({34, 37, 39, 8, 41, 10, 15, 18, 25}), frozenset({34, 37, 8, 41, 10, 15, 18, 24, 25})]",6,"[[np.int64(28), 39], [12, 21], [21, 16], [16, 8], [39, 24]]","[[15, 19, 17], [15, 17, 19], [21, 15, 19], [15, 21, 19], [17, 15, 19], [17, 21, 17]]","[{17, 26, 35}, {24, 17, 26}, {24}, {26}, {16, 24, 26}, {26}]"
