barrier_sequence,sequence_length,barrier_changes,reward_path_lengths,choice_points
"[frozenset({np.int64(37), np.int64(39), np.int64(7), np.int64(41), np.int64(14), np.int64(46), np.int64(20), np.int64(23), np.int64(30)}), frozenset({37, 7, 39, 14, 46, 16, 20, 23, 30}), frozenset({37, 7, 39, 46, 14, 17, 20, 23, 30})]",3,"[[np.int64(41), 16], [16, 17]]","[[15, 17, 21], [15, 21, 19], [25, 17, 19]]","[{13}, {26}, {29}]"
"[frozenset({np.int64(8), np.int64(42), np.int64(12), np.int64(44), np.int64(46), np.int64(16), np.int64(21), np.int64(27), np.int64(30)}), frozenset({8, 42, 12, 44, 46, 21, 27, 29, 30}), frozenset({8, 42, 44, 12, 46, 16, 21, 27, 29})]",3,"[[np.int64(16), 29], [30, 16]]","[[17, 23, 17], [17, 15, 21], [17, 23, 17]]","[{31}, {13}, {31}]"
"[frozenset({np.int64(39), np.int64(42), np.int64(11), np.int64(13), np.int64(19), np.int64(22), np.int64(25), np.int64(27), np.int64(30)}), frozenset({39, 42, 13, 16, 19, 22, 25, 27, 30}), frozenset({39, 42, 13, 16, 19, 22, 26, 27, 30})]",3,"[[np.int64(11), 16], [25, 26]]","[[21, 15, 17], [15, 21, 17], [23, 17, 17]]","[{29}, {31}, {29}]"
"[frozenset({np.int64(34), np.int64(36), np.int64(37), np.int64(7), np.int64(45), np.int64(14), np.int64(17), np.int64(20), np.int64(28)}), frozenset({34, 36, 37, 7, 45, 14, 20, 25, 28}), frozenset({34, 37, 7, 45, 14, 20, 25, 26, 28})]",3,"[[np.int64(17), 25], [36, 26]]","[[23, 19, 17], [15, 19, 23], [21, 19, 15]]","[{35}, {13}, {35}]"
"[frozenset({np.int64(32), np.int64(34), np.int64(11), np.int64(44), np.int64(13), np.int64(46), np.int64(15), np.int64(21), np.int64(30)}), frozenset({32, 34, 11, 44, 46, 15, 16, 21, 30}), frozenset({32, 34, 11, 44, 46, 15, 16, 26, 30})]",3,"[[np.int64(13), 16], [21, 26]]","[[21, 15, 19], [17, 25, 19], [23, 17, 19]]","[{24}, {31}, {24}]"
"[frozenset({np.int64(37), np.int64(7), np.int64(42), np.int64(44), np.int64(14), np.int64(20), np.int64(25), np.int64(28), np.int64(31)}), frozenset({37, 7, 42, 44, 14, 17, 20, 25, 28}), frozenset({37, 7, 42, 44, 14, 16, 20, 25, 28})]",3,"[[np.int64(31), 17], [17, 16]]","[[15, 17, 21], [23, 17, 17], [15, 19, 17]]","[{13}, {29}, {26}]"
"[frozenset({np.int64(9), np.int64(42), np.int64(44), np.int64(17), np.int64(22), np.int64(23), np.int64(24), np.int64(27), np.int64(30)}), frozenset({9, 42, 44, 17, 20, 22, 23, 27, 30}), frozenset({9, 42, 44, 13, 20, 22, 23, 27, 30}), frozenset({9, 42, 44, 13, 22, 23, 26, 27, 30})]",4,"[[np.int64(24), 20], [17, 13], [20, 26]]","[[17, 23, 17], [23, 17, 17], [15, 21, 17], [23, 17, 17]]","[{31}, {29}, {31}, {29}]"
"[frozenset({np.int64(34), np.int64(37), np.int64(41), np.int64(10), np.int64(14), np.int64(17), np.int64(18), np.int64(19), np.int64(25)}), frozenset({34, 37, 41, 10, 14, 18, 19, 25, 30}), frozenset({34, 37, 41, 10, 14, 18, 19, 25, 29})]",3,"[[np.int64(17), 30], [30, 29]]","[[21, 17, 17], [17, 17, 21], [17, 21, 17]]","[{35}, {16}, {26}]"
"[frozenset({np.int64(36), np.int64(37), np.int64(39), np.int64(7), np.int64(46), np.int64(14), np.int64(20), np.int64(23), np.int64(30)}), frozenset({37, 7, 39, 14, 46, 16, 20, 23, 30}), frozenset({37, 7, 39, 46, 14, 17, 20, 23, 30})]",3,"[[np.int64(36), 16], [16, 17]]","[[15, 17, 21], [15, 21, 19], [25, 17, 19]]","[{13}, {26}, {29}]"
"[frozenset({np.int64(39), np.int64(42), np.int64(13), np.int64(17), np.int64(19), np.int64(22), np.int64(23), np.int64(25), np.int64(30)}), frozenset({39, 9, 42, 13, 19, 22, 23, 25, 30}), frozenset({39, 9, 42, 13, 19, 22, 23, 26, 30})]",3,"[[np.int64(17), 9], [25, 26]]","[[21, 15, 17], [15, 21, 17], [23, 17, 17]]","[{29}, {31}, {29}]"
