trial,reward,trajectory
1,0,36 41 46 42 47 49 2
2,0,2 49 47 42 37 32 27 32 38 49 2 49 38 49 47 42 46 41 36 30 25 20 16 20 24 20 16 13 10 7 5 4 1
3,1,1 4 5 10 13 17 21 25 20 25 30 36 30 25 20 16 13 10 8 6 4 1 4 5 7 10 13 16 20 25 21 25 30 36 41 46 42 47 49 2
4,0,2 49 38 49 38 32 27 32 37 42 46 41 36 30 25 20 16 13 10 8 6 4 1
5,0,1 4 5 7 10 13 16 20 24 19 23 28 33 48 3
6,0,3 48 3 48 43 39 44 39 44 39 34 28 23 19 24 20 16 13 10 8 6 4 1
7,0,1 4 6 8 10 13 16 20 25 20 25 21 26 21 17 13 10 7 5 4 1 4 5 7 10 13 17 21 25 30 36 41 46 42 47 49 2
8,0,2 49 38 32 37 42 46 41 36 30 25 20 16 20 16 13 17 21 25 30 25 20 24 20 16 13 10 8 6 4 1
9,1,1 4 5 7 10 13 16 20 25 30 25 30 25 30 25 30 25 30 36 30 36 41 46 42 47 49 2
10,1,2 49 38 32 27 32 37 42 46 41 36 30 25 20 24 19 23 28 33 48 3
11,0,3 48 43 39 34 28 23 28 23 28 33 48 3 48 33 28 23 19 24 20 16 13 10 8 6 4 1
12,1,1 4 6 8 10 13 16 20 25 30 36 41 46 42 47 49 2
13,1,2 49 2 49 2 49 47 42 46 41 36 30 25 20 24 19 23 28 33 48 3
14,0,3 48 3 48 3 48 3 48 3 48 3 48 3 48 43 39 44 39 34 24 20 16 13 10 8 6 4 1
15,0,1 4 5 4 5 4 5 4 1 4 5 7 10 13 17 13 16 20 25 30 25 30 25 30 36 41 46 42 47 49 2
16,0,2 49 38 32 37 42 41 36 30 25 20 24 20 16 13 10 8 6 4 1
17,1,1 4 5 7 10 13 16 20 25 20 24 20 25 21 26 21 17 21 26 21 17 13 10 13 16 20 24 20 25 30 36 41 46 42 47 49 2
18,1,2 49 47 42 46 41 36 30 25 20 24 19 23 28 33 48 3
19,0,3 48 43 39 34 28 23 19 24 20 16 13 10 8 6 4 1
20,0,1 4 5 7 10 13 16 20 25 30 36 41 46 42 47 49 2
21,1,2 49 2 49 38 49 38 32 27 32 37 42 46 42 47 49 2 49 47 42 46 41 36 30 25 20 24 19 23 28 33 48 3
22,0,3 48 33 28 23 19 24 20 16 13 10 8 6 4 1
23,0,1 4 6 8 10 13 16 20 25 30 36 41 46 42 47 49 2
24,1,2 49 38 49 38 32 37 42 46 42 47 49 2 49 38 32 27 32 37 42 46 41 36 30 25 20 24 19 23 28 33 48 3
25,0,3 48 33 28 23 19 24 20 16 13 10 13 10 8 6 4 1
26,0,1 4 6 8 10 13 16 20 25 30 36 41 46 41 46 42 47 49 2
27,1,2 49 47 42 46 41 36 30 25 20 24 19 23 28 33 48 3
28,0,3 48 3 48 33 28 23 19 24 20 16 13 10 8 6 4 1
29,1,1 4 6 8 10 13 16 20 25 30 36 41 46 42 47 49 2
30,1,2 49 38 32 37 42 46 42 47 49 2 49 47 42 46 41 36 30 25 20 24 19 23 28 33 48 3
31,0,3 48 43 39 44 40 44 39 34 28 23 19 24 20 16 13 10 8 6 4 1
32,1,1 4 5 4 5 4 5 4 5 4 5 7 10 13 17 21 26 21 25 30 36 41 46 42 47 49 2
33,1,2 49 47 42 46 41 36 30 25 20 24 19 23 28 33 48 3
34,0,3 48 33 28 23 19 24 20 16 13 10 8 6 4 1
35,0,1 4 6 8 10 13 16 20 25 30 36 41 46 42 47 49 2
36,1,2 49 38 49 38 49 38 32 37 42 46 41 36 30 25 20 16 13 10 8 6 4 1 4 5 7 10 13 16 20 24 19 23 28 33 48 3
37,1,3 48 43 39 44 40 44 39 34 28 23 19 24 20 16 13 10 13 17 13 16 20 24 20 25 30 36 41 46 42 47 49 2
38,1,2 49 2 49 38 32 37 42 46 41 36 30 25 20 16 13 10 8 6 4 1 4 5 7 10 13 16 20 24 19 23 28 33 48 3
39,0,3 48 43 39 34 28 23 19 24 20 16 13 16 13 10 13 17 21 25 30 36 41 46 42 47 49 2
40,1,2 49 2 49 2 49 47 42 46 41 36 30 25 20 24 19 23 28 33 48 3
41,1,3 48 33 28 23 19 24 20 25 30 36 41 46 42 47 49 2
42,1,2 49 2 49 47 42 46 41 36 30 25 20 24 19 23 28 33 48 3
43,0,3 48 33 28 23 19 24 20 16 13 10 8 6 4 1
44,0,1 4 6 8 10 13 16 20 25 30 36 41 46 42 47 49 2
45,1,2 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 38 49 2 49 2 49 38 32 37 42 46 42 47 49 2 49 38 49 38 49 38 49 38 32 37 42 46 41 36 30 25 20 24 19 23 28 33 48 3
46,0,3 48 43 39 34 28 23 19 24 20 25 30 36 41 46 42 47 49 2
47,1,2 49 2 49 38 32 37 42 46 41 36 30 25 20 24 19 23 28 33 48 3
48,0,3 48 33 28 23 19 24 20 16 13 10 8 6 4 1
49,1,1 4 1 4 5 7 10 13 16 20 24 19 23 28 33 48 3
50,0,3 48 43 39 34 28 23 19 24 20 16 13 10 8 6 4 1
51,1,1 4 1 4 1 4 1 4 5 7 10 13 16 20 24 19 23 28 33 48 3
52,1,3 48 3 48 3 48 43 39 34 28 23 19 24 20 25 30 36 41 46 42 47 49 2
53,1,2 49 38 49 38 32 37 42 46 41 36 30 25 20 24 19 23 28 33 48 3
54,0,3 48 33 28 23 19 24 20 25 30 36 41 46 42 47 49 2
