barrier_sequence,sequence_length,reward_path_lengths,choice_points
"[frozenset({37, 7, 39, 41, 14, 46, 20, 23, 30}), frozenset({37, 39, 7, 46, 14, 16, 20, 23, 30}), frozenset({37, 39, 7, 46, 14, 18, 20, 23, 30}), frozenset({39, 7, 46, 14, 18, 20, 23, 26, 30}), frozenset({35, 39, 7, 46, 14, 18, 20, 23, 26})]",5,"[[15, 17, 21], [15, 21, 19], [15, 17, 19], [23, 17, 17], [17, 17, 23]]","[{13}, {26}, {26, 13, 29}, {29}, {13}]"
"[frozenset({34, 36, 37, 39, 10, 45, 14, 15, 20}), frozenset({34, 37, 39, 10, 45, 14, 15, 20, 26}), frozenset({34, 37, 39, 10, 45, 14, 15, 25, 26}), frozenset({34, 37, 39, 10, 45, 14, 15, 46, 25}), frozenset({34, 37, 39, 45, 46, 14, 13, 15, 25}), frozenset({34, 37, 45, 46, 15, 14, 13, 19, 25})]",6,"[[17, 21, 19], [19, 21, 17], [19, 15, 17], [17, 15, 19], [21, 15, 19], [21, 17, 17]]","[{21}, {30}, {24}, {16, 24, 26}, {24}, {35}]"
"[frozenset({34, 7, 41, 11, 46, 17, 20, 28, 31})]",1,"[[23, 19, 17]]",[{35}]
"[frozenset({34, 10, 42, 12, 45, 18, 23, 25, 31}), frozenset({34, 37, 10, 42, 12, 45, 18, 23, 25}), frozenset({34, 37, 10, 12, 45, 18, 23, 25, 26}), frozenset({34, 37, 40, 10, 12, 45, 18, 25, 26}), frozenset({34, 37, 40, 10, 12, 45, 46, 18, 25}), frozenset({34, 37, 40, 10, 12, 46, 18, 20, 25})]",6,"[[15, 19, 21], [15, 19, 17], [21, 19, 15], [21, 17, 17], [15, 17, 19], [15, 21, 19]]","[{17}, {17, 26, 35}, {35}, {24}, {24, 17, 26}, {26}]"
"[frozenset({39, 9, 10, 46, 21, 22, 23, 26, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({32, 36, 8, 9, 41, 44, 21, 23, 24})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({9, 10, 42, 44, 13, 18, 22, 25, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({34, 37, 7, 45, 13, 22, 25, 27, 29})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({39, 8, 13, 46, 18, 22, 23, 24, 30})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({34, 39, 42, 11, 12, 16, 21, 27, 30}), frozenset({34, 39, 8, 42, 11, 12, 21, 27, 30}), frozenset({34, 39, 8, 42, 12, 21, 22, 27, 30}), frozenset({34, 35, 39, 8, 42, 12, 21, 27, 30}), frozenset({34, 35, 39, 8, 42, 12, 16, 21, 27})]",5,"[[17, 25, 19], [17, 15, 19], [21, 15, 19], [17, 15, 21], [17, 23, 17]]","[{31}, {24, 13, 31}, {24}, {13}, {31}]"
"[frozenset({32, 8, 9, 41, 15, 21, 27, 29, 30}), frozenset({32, 8, 9, 41, 15, 20, 21, 27, 29})]",2,"[[17, 15, 21], [17, 21, 15]]","[{13}, {31}]"
"[frozenset({32, 37, 8, 40, 9, 11, 16, 21, 28}), frozenset({32, 37, 8, 40, 9, 11, 20, 21, 28}), frozenset({32, 35, 40, 9, 8, 11, 20, 21, 28}), frozenset({32, 40, 9, 8, 11, 20, 21, 28, 31}), frozenset({32, 35, 8, 40, 9, 11, 20, 28, 31})]",5,"[[19, 21, 15], [19, 17, 15], [17, 17, 23], [21, 17, 15], [17, 17, 23]]","[{36}, {13, 36, 29}, {13}, {29}, {13}]"
"[frozenset({32, 37, 8, 45, 16, 21, 25, 28, 29})]",1,"[[19, 21, 15]]",[{36}]
"[frozenset({34, 36, 9, 10, 42, 46, 22, 23, 30})]",1,"[[15, 19, 19]]","[{17, 20, 21}]"
